label,mode,cyc,I,enable,op_and3_B,AN_and3_B,B_and3_B,Y_and3_B,op_slot_0_A,AN_slot_0_A,B_slot_0_A,Y_slot_0_A,op_slot_1_B,AN_slot_1_B,B_slot_1_B,Y_slot_1_B,op_slot_0_D,AN_slot_0_D,B_slot_0_D,Y_slot_0_D
t03_and3_B_k1,0,59,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,60,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,61,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,62,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,63,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
t03_and3_B_k1,0,64,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
t03_and3_B_k1,0,65,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
t03_and3_B_k1,0,66,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,67,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,68,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,69,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,70,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,71,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,72,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,73,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,74,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
t03_and3_B_k1,0,75,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,76,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,77,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,78,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,79,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,80,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,81,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,82,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,83,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,84,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,85,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
t03_and3_B_k1,0,86,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,87,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,88,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,89,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,90,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,91,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,92,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,93,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,94,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,95,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,96,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
t03_and3_B_k1,0,97,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,98,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,99,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,100,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,101,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,102,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,103,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,104,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,105,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,106,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,107,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
t03_and3_B_k1,0,108,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
t03_and3_B_k1,0,109,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
t03_and3_B_k1,0,110,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,111,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,112,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,113,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,114,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,115,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,116,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,117,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,118,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,119,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k1,0,120,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,2,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,3,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,4,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,5,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,6,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,7,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,8,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0
t03_and3_B_k2,1,9,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0
t03_and3_B_k2,1,10,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,11,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,12,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,13,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,14,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,15,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,16,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,17,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,18,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,19,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0
t03_and3_B_k2,1,20,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0
t03_and3_B_k2,1,21,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,22,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,23,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,24,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,25,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,26,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,27,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,28,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,29,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,30,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,31,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0
t03_and3_B_k2,1,32,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,33,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,34,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,35,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,36,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,37,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,38,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,39,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,40,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,41,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,42,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,43,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,44,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,45,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,46,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,47,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,48,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,49,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,50,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,51,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,52,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,53,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
t03_and3_B_k2,1,54,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
