mode,cyc,xnor_B,xnor_Y,Q,and4_X
I1_cyc1,1,1,0,0,0
I1_cyc1,2,1,0,0,0
I1_cyc1,3,1,0,0,0
I1_cyc1,4,1,0,0,0
I1_cyc1,5,1,0,0,0
I1_cyc1,6,1,0,0,0
I1_cyc1,7,1,0,0,0
I1_cyc1,8,1,0,0,0
I1_cyc1,9,1,0,0,0
I1_cyc1,10,1,0,0,0
I1_cyc1,11,1,0,0,0
I1_cyc1,12,1,0,0,0
I1_cyc1,13,1,0,0,0
I1_cyc1,14,1,0,0,0
I1_cyc1,15,1,0,0,0
I1_cyc1,16,1,0,0,0
I1_cyc1,17,1,0,0,0
I1_cyc1,18,1,0,0,0
I1_cyc1,19,1,0,0,0
I1_cyc1,20,1,0,0,0
I1_cyc1,21,1,0,0,0
I1_cyc1,22,1,0,0,0
I1_cyc1,23,1,0,0,0
I1_cyc1,24,1,0,0,0
I1_cyc1,25,1,0,0,0
I1_cyc1,26,1,0,0,0
I1_cyc1,27,1,0,0,0
I1_cyc1,28,1,0,0,0
I1_cyc1,29,1,0,0,0
I1_cyc1,30,1,0,0,0
I1_cyc1,31,1,0,0,0
I1_cyc1,32,1,0,0,0
I1_cyc1,33,1,0,0,0
I1_cyc1,34,1,0,0,0
I1_cyc1,35,1,0,0,0
I1_cyc1,36,1,0,0,0
I1_cyc1,37,1,0,0,0
I1_cyc1,38,1,0,0,0
I1_cyc1,39,1,0,0,0
I1_cyc1,40,1,0,0,0
I1_cyc1,41,1,0,0,0
I1_cyc1,42,1,0,0,0
I1_cyc1,43,1,0,0,0
I1_cyc1,44,1,0,0,0
I1_cyc1,45,1,0,0,0
I1_cyc1,46,1,0,0,0
I1_cyc1,47,1,0,0,0
I1_cyc1,48,1,0,0,0
I1_cyc1,49,1,0,0,0
I1_cyc1,50,1,0,0,0
I1_cyc1,51,1,0,0,0
I1_cyc1,52,1,0,0,0
I1_cyc1,53,1,0,0,0
I1_cyc1,54,1,0,0,0
I1_cyc1,55,1,0,0,0
I1_cyc1,56,1,0,0,0
I1_cyc1,57,1,0,0,0
I1_cyc1,58,1,0,0,0
I1_cyc1,59,1,0,0,0
I1_cyc1,60,1,0,0,0
I1_cyc1,61,1,0,0,0
I1_cyc1,62,1,0,0,0
I1_cyc1,63,1,0,0,0
I1_cyc1,64,1,0,0,0
I1_cyc1,65,1,0,0,0
I1_cyc1,66,1,0,0,0
I1_cyc1,67,1,0,0,0
I1_cyc1,68,1,0,0,0
I1_cyc1,69,1,0,0,0
I1_cyc1,70,1,0,0,0
I1_cyc1,71,1,0,0,0
I1_cyc1,72,1,0,0,0
I1_cyc1,73,1,0,0,0
I1_cyc1,74,1,0,0,0
I1_cyc1,75,1,0,0,0
I1_cyc1,76,1,0,0,0
I1_cyc1,77,1,0,0,0
I1_cyc1,78,1,0,0,0
I1_cyc1,79,1,0,0,0
I1_cyc1,80,1,0,0,0
I1_cyc1,81,1,0,0,0
I1_cyc1,82,1,0,0,0
I1_cyc1,83,1,0,0,0
I1_cyc1,84,1,0,0,0
I1_cyc1,85,1,0,0,0
I1_cyc1,86,1,0,0,0
I1_cyc1,87,1,0,0,0
I1_cyc1,88,1,0,0,0
I1_cyc1,89,1,0,0,0
I1_cyc1,90,1,0,0,0
I1_cyc1,91,1,0,0,0
I1_cyc1,92,1,0,0,0
I1_cyc1,93,1,0,0,0
I1_cyc1,94,1,0,0,0
I1_cyc1,95,1,0,0,0
I1_cyc1,96,1,0,0,0
I1_cyc1,97,1,0,0,0
I1_cyc1,98,1,0,0,0
I1_cyc1,99,1,0,0,0
I1_cyc1,100,1,0,0,0
I1_cyc1,101,1,0,0,0
I1_cyc1,102,1,0,0,0
I1_cyc1,103,1,0,0,0
I1_cyc1,104,1,0,0,0
I1_cyc1,105,1,0,0,0
I1_cyc1,106,1,0,0,0
I1_cyc1,107,1,0,0,0
I1_cyc1,108,1,0,0,0
I1_cyc1,109,1,0,0,0
I1_cyc1,110,1,0,0,0
I1_cyc1,111,1,0,0,0
I1_cyc1,112,1,0,0,0
I1_cyc1,113,1,0,0,0
I1_cyc1,114,1,0,0,0
I1_cyc1,115,1,0,0,0
I1_cyc1,116,1,0,0,0
I1_cyc1,117,1,0,0,0
I1_cyc1,118,1,0,0,0
I1_cyc1,119,1,0,0,0
I1_cyc1,120,1,0,0,0
I1_cyc10,0,1,0,0,0
I1_cyc10,1,1,0,0,0
I1_cyc10,2,1,0,0,0
I1_cyc10,3,1,0,0,0
I1_cyc10,4,1,0,0,0
I1_cyc10,5,1,0,0,0
I1_cyc10,6,1,0,0,0
I1_cyc10,7,1,0,0,0
I1_cyc10,8,1,0,0,0
I1_cyc10,9,1,0,0,0
I1_cyc10,10,1,0,0,0
I1_cyc10,11,1,0,0,0
I1_cyc10,12,1,0,0,0
I1_cyc10,13,1,0,0,0
I1_cyc10,14,1,0,0,0
I1_cyc10,15,1,0,0,0
I1_cyc10,16,1,0,0,0
I1_cyc10,17,1,0,0,0
I1_cyc10,18,1,0,0,0
I1_cyc10,19,1,0,0,0
I1_cyc10,20,1,0,0,0
I1_cyc10,21,1,0,0,0
I1_cyc10,22,1,0,0,0
I1_cyc10,23,1,0,0,0
I1_cyc10,24,1,0,0,0
I1_cyc10,25,1,0,0,0
I1_cyc10,26,1,0,0,0
I1_cyc10,27,1,0,0,0
I1_cyc10,28,1,0,0,0
I1_cyc10,29,1,0,0,0
I1_cyc10,30,1,0,0,0
I1_cyc10,31,1,0,0,0
I1_cyc10,32,1,0,0,0
I1_cyc10,33,1,0,0,0
I1_cyc10,34,1,0,0,0
I1_cyc10,35,1,0,0,0
I1_cyc10,36,1,0,0,0
I1_cyc10,37,1,0,0,0
I1_cyc10,38,1,0,0,0
I1_cyc10,39,1,0,0,0
I1_cyc10,40,1,0,0,0
I1_cyc10,41,1,0,0,0
I1_cyc10,42,1,0,0,0
I1_cyc10,43,1,0,0,0
I1_cyc10,44,1,0,0,0
I1_cyc10,45,1,0,0,0
I1_cyc10,46,1,0,0,0
I1_cyc10,47,1,0,0,0
I1_cyc10,48,1,0,0,0
I1_cyc10,49,1,0,0,0
I1_cyc10,50,1,0,0,0
I1_cyc10,51,1,0,0,0
I1_cyc10,52,1,0,0,0
I1_cyc10,53,1,0,0,0
I1_cyc10,54,1,0,0,0
I1_cyc10,55,1,0,0,0
I1_cyc10,56,1,0,0,0
I1_cyc10,57,1,0,0,0
I1_cyc10,58,1,0,0,0
I1_cyc10,59,1,0,0,0
I1_cyc10,60,1,0,0,0
I1_cyc10,61,1,0,0,0
I1_cyc10,62,1,0,0,0
I1_cyc10,63,1,0,0,0
I1_cyc10,64,1,0,0,0
I1_cyc10,65,1,0,0,0
I1_cyc10,66,1,0,0,0
I1_cyc10,67,1,0,0,0
I1_cyc10,68,1,0,0,0
I1_cyc10,69,1,0,0,0
I1_cyc10,70,1,0,0,0
I1_cyc10,71,1,0,0,0
I1_cyc10,72,1,0,0,0
I1_cyc10,73,1,0,0,0
I1_cyc10,74,1,0,0,0
I1_cyc10,75,1,0,0,0
I1_cyc10,76,1,0,0,0
