label,mode,cyc,I,enable,op_slot_1_A,AN_slot_1_A,B_slot_1_A,Y_slot_1_A
t05_slot_1_A_k1,78,108,0,1,0,1,0,0
t05_slot_1_A_k1,78,109,0,1,0,1,0,0
t05_slot_1_A_k1,78,110,0,1,0,1,0,0
t05_slot_1_A_k1,78,111,0,1,0,1,0,0
t05_slot_1_A_k1,78,112,0,1,0,1,0,0
t05_slot_1_A_k1,78,113,0,1,0,1,0,0
t05_slot_1_A_k1,78,114,0,1,0,1,0,0
t05_slot_1_A_k1,78,115,0,1,0,1,0,0
t05_slot_1_A_k1,78,116,0,1,0,1,0,0
t05_slot_1_A_k1,78,117,0,1,0,1,0,0
t05_slot_1_A_k1,78,118,0,1,0,1,0,0
t05_slot_1_A_k1,78,119,0,1,0,1,0,0
t05_slot_1_A_k1,78,120,0,1,0,1,0,0
t05_slot_1_A_k2,79,0,0,1,0,0,0,0
t05_slot_1_A_k2,79,1,0,1,0,0,0,0
t05_slot_1_A_k2,79,2,0,1,0,0,0,0
t05_slot_1_A_k2,79,3,0,1,0,0,0,0
t05_slot_1_A_k2,79,4,0,1,0,0,0,0
t05_slot_1_A_k2,79,5,0,1,0,0,0,0
t05_slot_1_A_k2,79,6,0,1,0,0,0,0
t05_slot_1_A_k2,79,7,1,1,1,0,0,0
t05_slot_1_A_k2,79,8,0,1,0,1,0,0
t05_slot_1_A_k2,79,9,0,1,0,1,0,0
t05_slot_1_A_k2,79,10,0,1,0,1,0,0
t05_slot_1_A_k2,79,11,0,1,0,1,0,0
t05_slot_1_A_k2,79,12,0,1,0,1,0,0
t05_slot_1_A_k2,79,13,0,1,0,1,0,0
t05_slot_1_A_k2,79,14,0,1,0,1,0,0
t05_slot_1_A_k2,79,15,0,1,0,1,0,0
t05_slot_1_A_k2,79,16,0,1,0,1,0,0
t05_slot_1_A_k2,79,17,1,1,1,1,0,0
t05_slot_1_A_k2,79,18,0,1,1,0,1,1
t05_slot_1_A_k2,79,19,0,1,0,0,1,1
t05_slot_1_A_k2,79,20,0,1,0,0,1,1
t05_slot_1_A_k2,79,21,0,1,0,0,1,1
t05_slot_1_A_k2,79,22,0,1,0,0,1,1
t05_slot_1_A_k2,79,23,0,1,0,0,1,1
t05_slot_1_A_k2,79,24,0,1,0,0,1,1
t05_slot_1_A_k2,79,25,0,1,0,0,1,1
t05_slot_1_A_k2,79,26,0,1,0,0,1,1
t05_slot_1_A_k2,79,27,0,1,0,0,1,1
