mode,cyc,A,B,C,Y,and4_X
"I2_d02_@1,3",60,0,0,0,1,0
"I2_d02_@1,3",61,0,0,0,1,0
"I2_d02_@1,3",62,0,0,0,1,0
"I2_d02_@1,3",63,0,0,0,1,0
"I2_d02_@1,3",64,0,0,0,1,0
"I2_d02_@1,3",65,0,0,0,1,0
"I2_d02_@1,3",66,0,0,0,1,0
"I2_d02_@1,3",67,0,0,0,1,0
"I2_d02_@1,3",68,0,0,0,1,0
"I2_d02_@1,3",69,0,0,0,1,0
"I2_d02_@1,3",70,0,0,0,1,0
"I2_d02_@1,3",71,0,0,0,1,0
"I2_d02_@1,3",72,0,0,0,1,0
"I2_d02_@1,3",73,0,0,0,1,0
"I2_d02_@1,3",74,0,0,0,1,0
"I2_d02_@1,3",75,0,0,0,1,0
"I2_d02_@1,3",76,0,0,0,1,0
"I2_d02_@1,3",77,0,0,0,1,0
"I2_d02_@1,3",78,0,0,0,1,0
"I2_d02_@1,3",79,0,0,0,1,0
"I2_d02_@1,3",80,0,0,0,1,0
"I2_d02_@1,3",81,0,0,0,1,0
"I2_d02_@1,3",82,0,0,0,1,0
"I2_d02_@1,3",83,0,0,0,1,0
"I2_d02_@1,3",84,0,0,0,1,0
"I2_d02_@1,3",85,0,0,0,1,0
"I2_d02_@1,3",86,0,0,0,1,0
"I2_d02_@1,3",87,0,0,0,1,0
"I2_d02_@1,3",88,0,0,0,1,0
"I2_d02_@1,3",89,0,0,0,1,0
"I2_d02_@1,3",90,0,0,0,1,0
"I2_d02_@1,3",91,0,0,0,1,0
"I2_d02_@1,3",92,0,0,0,1,0
"I2_d02_@1,3",93,0,0,0,1,0
"I2_d02_@1,3",94,0,0,0,1,0
"I2_d02_@1,3",95,0,0,0,1,0
"I2_d02_@1,3",96,0,0,0,1,0
"I2_d02_@1,3",97,0,0,0,1,0
"I2_d02_@1,3",98,0,0,0,1,0
"I2_d02_@1,3",99,0,0,0,1,0
"I2_d02_@1,3",100,0,0,0,1,0
