mode,cyc,A,B,C,Y,and4_X
I2win_d05_off0,9,0,0,0,1,0
I2win_d05_off0,10,0,0,0,1,0
I2win_d05_off0,11,0,0,0,1,0
I2win_d05_off0,12,0,0,1,0,0
I2win_d05_off0,13,0,0,1,0,0
I2win_d05_off0,14,0,0,1,0,0
I2win_d05_off0,15,0,0,1,0,0
I2win_d05_off0,16,0,0,1,0,0
I2win_d05_off0,17,0,0,0,1,0
I2win_d05_off0,18,0,0,0,1,0
I2win_d05_off0,19,0,0,0,1,0
I2win_d05_off0,20,0,0,0,1,0
I2win_d05_off0,21,0,0,0,1,0
I2win_d05_off0,22,0,0,0,1,0
I2win_d05_off0,23,0,0,1,0,0
I2win_d05_off0,24,0,0,1,0,0
I2win_d05_off0,25,0,0,1,0,0
I2win_d05_off0,26,0,0,1,0,0
I2win_d05_off0,27,0,0,1,0,0
I2win_d05_off0,28,0,0,0,1,0
I2win_d05_off0,29,0,0,0,1,0
I2win_d05_off0,30,0,0,0,1,0
I2win_d05_off0,31,0,0,0,1,0
I2win_d05_off0,32,0,0,0,1,0
I2win_d05_off0,33,0,0,0,1,0
I2win_d05_off0,34,0,0,1,0,0
I2win_d05_off0,35,0,0,1,0,0
I2win_d05_off0,36,0,0,1,0,0
I2win_d05_off0,37,0,0,1,0,0
I2win_d05_off0,38,0,0,1,0,0
I2win_d05_off0,39,0,0,1,0,0
I2win_d05_off0,40,0,0,1,0,0
I2win_d05_off0,41,0,0,1,0,0
I2win_d05_off0,42,0,0,1,0,0
I2win_d05_off0,43,0,0,1,0,0
I2win_d05_off0,44,0,0,1,0,0
I2win_d05_off0,45,0,0,1,0,0
I2win_d05_off0,46,0,0,1,0,0
I2win_d05_off0,47,0,0,1,0,0
I2win_d05_off0,48,0,0,1,0,0
I2win_d05_off0,49,0,0,1,0,0
I2win_d05_off0,50,0,0,1,0,0
I2win_d05_off0,51,0,0,1,0,0
I2win_d05_off0,52,0,0,1,0,0
I2win_d05_off0,53,0,0,1,0,0
I2win_d05_off0,54,0,0,1,0,0
I2win_d05_off0,55,0,0,1,0,0
I2win_d05_off0,56,0,0,1,0,0
I2win_d05_off0,57,0,0,1,0,0
