mode,cyc,S,A0,A1,X,a31o_X,sticky_Q,inv_Y
I2win_d01_off0,119,1,1,0,0,0,0,1
I2win_d01_off0,120,1,1,0,0,0,0,1
I2win_d02_off0,0,0,1,1,1,0,0,1
I2win_d02_off0,1,0,1,1,1,0,0,1
I2win_d02_off0,2,0,0,1,0,0,0,1
I2win_d02_off0,3,1,1,0,0,0,0,1
I2win_d02_off0,4,1,1,0,0,0,0,1
I2win_d02_off0,5,1,1,0,0,0,0,1
I2win_d02_off0,6,1,1,0,0,0,0,1
I2win_d02_off0,7,1,1,0,0,0,0,1
I2win_d02_off0,8,1,1,0,0,0,0,1
I2win_d02_off0,9,1,1,0,0,0,0,1
I2win_d02_off0,10,1,1,0,0,0,0,1
I2win_d02_off0,11,0,1,1,1,0,0,1
I2win_d02_off0,12,0,1,1,1,0,0,1
I2win_d02_off0,13,0,0,1,0,0,0,1
I2win_d02_off0,14,1,1,0,0,0,0,1
I2win_d02_off0,15,1,1,0,0,0,0,1
I2win_d02_off0,16,1,1,0,0,0,0,1
I2win_d02_off0,17,1,1,0,0,0,0,1
I2win_d02_off0,18,1,1,0,0,0,0,1
I2win_d02_off0,19,1,1,0,0,0,0,1
I2win_d02_off0,20,1,1,0,0,0,0,1
I2win_d02_off0,21,1,1,0,0,0,0,1
I2win_d02_off0,22,0,1,1,1,0,0,1
I2win_d02_off0,23,0,1,1,1,0,0,1
I2win_d02_off0,24,0,0,1,0,0,0,1
I2win_d02_off0,25,1,1,0,0,0,0,1
I2win_d02_off0,26,1,1,0,0,0,0,1
I2win_d02_off0,27,1,1,0,0,0,0,1
I2win_d02_off0,28,1,1,0,0,0,0,1
I2win_d02_off0,29,1,1,0,0,0,0,1
I2win_d02_off0,30,1,1,0,0,0,0,1
I2win_d02_off0,31,1,1,0,0,0,0,1
I2win_d02_off0,32,1,1,0,0,0,0,1
I2win_d02_off0,33,0,1,1,1,0,0,1
I2win_d02_off0,34,0,1,1,1,0,0,1
I2win_d02_off0,35,0,0,1,0,0,0,1
I2win_d02_off0,36,1,1,0,0,0,0,1
I2win_d02_off0,37,1,1,0,0,0,0,1
I2win_d02_off0,38,1,1,0,0,0,0,1
I2win_d02_off0,39,1,1,0,0,0,0,1
I2win_d02_off0,40,1,1,0,0,0,0,1
I2win_d02_off0,41,1,1,0,0,0,0,1
I2win_d02_off0,42,1,1,0,0,0,0,1
I2win_d02_off0,43,1,1,0,0,0,0,1
I2win_d02_off0,44,0,1,1,1,0,0,1
I2win_d02_off0,45,0,1,1,1,0,0,1
I2win_d02_off0,46,0,0,1,0,0,0,1
I2win_d02_off0,47,1,1,0,0,0,0,1
I2win_d02_off0,48,1,1,0,0,0,0,1
I2win_d02_off0,49,1,1,0,0,0,0,1
I2win_d02_off0,50,1,1,0,0,0,0,1
I2win_d02_off0,51,1,1,0,0,0,0,1
I2win_d02_off0,52,1,1,0,0,0,0,1
I2win_d02_off0,53,1,1,0,0,0,0,1
I2win_d02_off0,54,1,1,0,0,0,0,1
I2win_d02_off0,55,0,1,1,1,0,0,1
I2win_d02_off0,56,0,1,1,1,0,0,1
I2win_d02_off0,57,0,0,1,0,0,0,1
I2win_d02_off0,58,1,1,0,0,0,0,1
I2win_d02_off0,59,1,1,0,0,0,0,1
I2win_d02_off0,60,1,1,0,0,0,0,1
I2win_d02_off0,61,1,1,0,0,0,0,1
I2win_d02_off0,62,1,1,0,0,0,0,1
I2win_d02_off0,63,1,1,0,0,0,0,1
I2win_d02_off0,64,1,1,0,0,0,0,1
I2win_d02_off0,65,1,1,0,0,0,0,1
I2win_d02_off0,66,0,1,1,1,0,0,1
I2win_d02_off0,67,0,1,1,1,0,0,1
I2win_d02_off0,68,0,0,1,0,0,0,1
I2win_d02_off0,69,1,1,0,0,0,0,1
I2win_d02_off0,70,1,1,0,0,0,0,1
I2win_d02_off0,71,1,1,0,0,0,0,1
I2win_d02_off0,72,1,1,0,0,0,0,1
I2win_d02_off0,73,1,1,0,0,0,0,1
I2win_d02_off0,74,1,1,0,0,0,0,1
I2win_d02_off0,75,1,1,0,0,0,0,1
I2win_d02_off0,76,1,1,0,0,0,0,1
I2win_d02_off0,77,0,1,1,1,0,0,1
I2win_d02_off0,78,0,1,1,1,0,0,1
I2win_d02_off0,79,0,0,1,0,0,0,1
I2win_d02_off0,80,1,1,0,0,0,0,1
I2win_d02_off0,81,1,1,0,0,0,0,1
I2win_d02_off0,82,1,1,0,0,0,0,1
I2win_d02_off0,83,1,1,0,0,0,0,1
I2win_d02_off0,84,1,1,0,0,0,0,1
I2win_d02_off0,85,1,1,0,0,0,0,1
I2win_d02_off0,86,1,1,0,0,0,0,1
I2win_d02_off0,87,1,1,0,0,0,0,1
I2win_d02_off0,88,0,1,1,1,0,0,1
I2win_d02_off0,89,0,1,1,1,0,0,1
I2win_d02_off0,90,0,0,1,0,0,0,1
I2win_d02_off0,91,1,1,0,0,0,0,1
I2win_d02_off0,92,1,1,0,0,0,0,1
I2win_d02_off0,93,1,1,0,0,0,0,1
I2win_d02_off0,94,1,1,0,0,0,0,1
I2win_d02_off0,95,1,1,0,0,0,0,1
I2win_d02_off0,96,1,1,0,0,0,0,1
I2win_d02_off0,97,1,1,0,0,0,0,1
