mode,cyc,S,A0,A1,X,a31o_X,sticky_Q
all0,81,0,1,0,1,1,1
all0,82,0,1,0,1,1,1
all0,83,0,1,0,1,1,1
all0,84,0,1,0,1,1,1
all0,85,0,1,0,1,1,1
all0,86,0,1,0,1,1,1
all0,87,0,1,0,1,1,1
all0,88,0,1,0,1,1,1
all0,89,0,1,0,1,1,1
all0,90,0,1,0,1,1,1
all0,91,0,1,0,1,1,1
all0,92,0,1,0,1,1,1
all0,93,0,1,0,1,1,1
all0,94,0,1,0,1,1,1
all0,95,0,1,0,1,1,1
all0,96,0,1,0,1,1,1
all0,97,0,1,0,1,1,1
all0,98,0,1,0,1,1,1
all0,99,0,1,0,1,1,1
all0,100,0,1,0,1,1,1
all0,101,0,1,0,1,1,1
all0,102,0,1,0,1,1,1
all0,103,0,1,0,1,1,1
all0,104,0,1,0,1,1,1
all0,105,0,1,0,1,1,1
all0,106,0,1,0,1,1,1
all0,107,0,1,0,1,1,1
all0,108,0,1,0,1,1,1
all0,109,0,1,0,1,1,1
all0,110,0,1,0,1,1,1
all0,111,0,1,0,1,1,1
all0,112,0,1,0,1,1,1
all0,113,0,1,0,1,1,1
all0,114,0,1,0,1,1,1
all0,115,0,1,0,1,1,1
all0,116,0,1,0,1,1,1
all0,117,0,1,0,1,1,1
all0,118,0,1,0,1,1,1
all0,119,0,1,0,1,1,1
all0,120,0,1,0,1,1,1
I1_@2,0,0,1,0,1,0,0
I1_@2,1,0,1,0,1,0,0
I1_@2,2,0,1,1,1,0,0
I1_@2,3,0,1,1,1,0,0
I1_@2,4,0,1,1,1,0,0
I1_@2,5,0,1,1,1,0,0
I1_@2,6,0,1,1,1,0,0
I1_@2,7,0,1,1,1,0,0
I1_@2,8,0,1,1,1,0,0
I1_@2,9,0,1,1,1,0,0
I1_@2,10,0,1,1,1,1,0
I1_@2,11,0,1,0,1,1,1
I1_@2,12,0,1,0,1,1,1
I1_@2,13,0,1,0,1,1,1
I1_@2,14,0,1,0,1,1,1
I1_@2,15,0,1,0,1,1,1
I1_@2,16,0,1,0,1,1,1
I1_@2,17,0,1,0,1,1,1
I1_@2,18,0,1,0,1,1,1
I1_@2,19,0,1,0,1,1,1
I1_@2,20,0,1,0,1,1,1
I1_@2,21,0,1,0,1,1,1
I1_@2,22,0,1,0,1,1,1
I1_@2,23,0,1,0,1,1,1
I1_@2,24,0,1,0,1,1,1
I1_@2,25,0,1,0,1,1,1
I1_@2,26,0,1,0,1,1,1
I1_@2,27,0,1,0,1,1,1
I1_@2,28,0,1,0,1,1,1
I1_@2,29,0,1,0,1,1,1
I1_@2,30,0,1,0,1,1,1
I1_@2,31,0,1,0,1,1,1
I1_@2,32,0,1,0,1,1,1
I1_@2,33,0,1,0,1,1,1
I1_@2,34,0,1,0,1,1,1
I1_@2,35,0,1,0,1,1,1
I1_@2,36,0,1,0,1,1,1
I1_@2,37,0,1,0,1,1,1
I1_@2,38,0,1,0,1,1,1
I1_@2,39,0,1,0,1,1,1
I1_@2,40,0,1,0,1,1,1
I1_@2,41,0,1,0,1,1,1
I1_@2,42,0,1,0,1,1,1
I1_@2,43,0,1,0,1,1,1
I1_@2,44,0,1,0,1,1,1
I1_@2,45,0,1,0,1,1,1
I1_@2,46,0,1,0,1,1,1
I1_@2,47,0,1,0,1,1,1
I1_@2,48,0,1,0,1,1,1
I1_@2,49,0,1,0,1,1,1
I1_@2,50,0,1,0,1,1,1
I1_@2,51,0,1,0,1,1,1
I1_@2,52,0,1,0,1,1,1
I1_@2,53,0,1,0,1,1,1
I1_@2,54,0,1,0,1,1,1
I1_@2,55,0,1,0,1,1,1
I1_@2,56,0,1,0,1,1,1
