instance,cell_type,x_um,y_um
VIA_L1M1_PR_MR_51,VIA_L1M1_PR_MR,155.25,15.13
VIA_L1M1_PR_MR_52,VIA_L1M1_PR_MR,156.63,15.13
VIA_L1M1_PR_MR_53,VIA_L1M1_PR_MR,157.09,15.13
VIA_L1M1_PR_MR_54,VIA_L1M1_PR_MR,158.01,15.13
VIA_L1M1_PR_MR_55,VIA_L1M1_PR_MR,159.39000000000001,15.13
VIA_L1M1_PR_MR_56,VIA_L1M1_PR_MR,160.31,15.13
VIA_L1M1_PR_MR_57,VIA_L1M1_PR_MR,161.69,15.13
VIA_L1M1_PR_MR_58,VIA_L1M1_PR_MR,163.07,15.13
VIA_L1M1_PR_MR_59,VIA_L1M1_PR_MR,163.99,15.13
VIA_L1M1_PR_MR_60,VIA_L1M1_PR_MR,169.05,15.13
VIA_L1M1_PR_MR_61,VIA_L1M1_PR_MR,175.32,15.13
VIA_L1M1_PR_MR_62,VIA_L1M1_PR_MR,175.95000000000002,15.13
VIA_L1M1_PR_MR_63,VIA_L1M1_PR_MR,176.41,15.13
VIA_L1M1_PR_MR_64,VIA_L1M1_PR_MR,177.33,15.13
VIA_L1M1_PR_MR_65,VIA_L1M1_PR_MR,178.71,15.13
VIA_L1M1_PR_MR_66,VIA_L1M1_PR_MR,180.55,15.13
VIA_L1M1_PR_MR_67,VIA_L1M1_PR_MR,181.93,15.13
VIA_L1M1_PR_MR_68,VIA_L1M1_PR_MR,183.77,15.13
VIA_L1M1_PR_MR_69,VIA_L1M1_PR_MR,185.15,15.13
VIA_L1M1_PR_MR_70,VIA_L1M1_PR_MR,186.53,15.13
VIA_L1M1_PR_MR_71,VIA_L1M1_PR_MR,187.91,15.13
VIA_L1M1_PR_MR_72,VIA_L1M1_PR_MR,162.15,15.47
VIA_L1M1_PR_MR_73,VIA_L1M1_PR_MR,172.73,15.47
VIA_L1M1_PR_MR_74,VIA_L1M1_PR_MR,173.65,15.47
VIA_L1M1_PR_MR_75,VIA_L1M1_PR_MR,186.07,15.47
VIA_L1M1_PR_MR_76,VIA_L1M1_PR_MR,188.37,15.47
VIA_L1M1_PR_MR_77,VIA_L1M1_PR_MR,168.59,15.81
VIA_L1M1_PR_MR_78,VIA_L1M1_PR_MR,181.47,15.81
VIA_L1M1_PR_MR_79,VIA_L1M1_PR_MR,182.39000000000001,15.81
VIA_L1M1_PR_MR_80,VIA_L1M1_PR_MR,182.85,15.81
VIA_L1M1_PR_MR_81,VIA_L1M1_PR_MR,160.77,16.830000000000002
VIA_L1M1_PR_MR_82,VIA_L1M1_PR_MR,154.79,17.17
VIA_L1M1_PR_MR_83,VIA_L1M1_PR_MR,155.71,17.17
VIA_L1M1_PR_MR_84,VIA_L1M1_PR_MR,168.59,17.17
VIA_L1M1_PR_MR_85,VIA_L1M1_PR_MR,182.39000000000001,17.17
VIA_L1M1_PR_MR_86,VIA_L1M1_PR_MR,165.82500000000002,17.495
VIA_L1M1_PR_MR_87,VIA_L1M1_PR_MR,152.95000000000002,17.51
VIA_L1M1_PR_MR_88,VIA_L1M1_PR_MR,153.87,17.51
VIA_L1M1_PR_MR_89,VIA_L1M1_PR_MR,157.55,17.51
VIA_L1M1_PR_MR_90,VIA_L1M1_PR_MR,158.01,17.51
VIA_L1M1_PR_MR_91,VIA_L1M1_PR_MR,159.39000000000001,17.51
VIA_L1M1_PR_MR_92,VIA_L1M1_PR_MR,160.31,17.51
VIA_L1M1_PR_MR_93,VIA_L1M1_PR_MR,161.69,17.51
VIA_L1M1_PR_MR_94,VIA_L1M1_PR_MR,164.91,17.51
VIA_L1M1_PR_MR_95,VIA_L1M1_PR_MR,166.29,17.51
VIA_L1M1_PR_MR_96,VIA_L1M1_PR_MR,167.67000000000002,17.51
VIA_L1M1_PR_MR_97,VIA_L1M1_PR_MR,175.03,17.51
VIA_L1M1_PR_MR_98,VIA_L1M1_PR_MR,175.95000000000002,17.51
VIA_L1M1_PR_MR_99,VIA_L1M1_PR_MR,180.26,17.51
VIA_L1M1_PR_MR_100,VIA_L1M1_PR_MR,183.31,17.51
VIA_L1M1_PR_MR_101,VIA_L1M1_PR_MR,184.23,17.51
VIA_L1M1_PR_MR_102,VIA_L1M1_PR_MR,184.69,17.51
VIA_L1M1_PR_MR_103,VIA_L1M1_PR_MR,185.15,17.51
VIA_L1M1_PR_MR_104,VIA_L1M1_PR_MR,158.93,17.85
VIA_L1M1_PR_MR_105,VIA_L1M1_PR_MR,162.15,17.85
VIA_L1M1_PR_MR_106,VIA_L1M1_PR_MR,163.07,17.85
VIA_L1M1_PR_MR_107,VIA_L1M1_PR_MR,166.75,17.85
VIA_L1M1_PR_MR_108,VIA_L1M1_PR_MR,170.43,17.85
VIA_L1M1_PR_MR_109,VIA_L1M1_PR_MR,174.11,17.85
VIA_L1M1_PR_MR_110,VIA_L1M1_PR_MR,178.25,17.85
VIA_L1M1_PR_MR_111,VIA_L1M1_PR_MR,178.71,17.85
VIA_L1M1_PR_MR_112,VIA_L1M1_PR_MR,185.61,17.85
VIA_L1M1_PR_MR_113,VIA_L1M1_PR_MR,153.87,18.19
VIA_L1M1_PR_MR_114,VIA_L1M1_PR_MR,181.47,18.19
VIA_L1M1_PR_MR_115,VIA_L1M1_PR_MR,156.17000000000002,18.53
VIA_L1M1_PR_MR_116,VIA_L1M1_PR_MR,163.99,18.53
VIA_L1M1_PR_MR_117,VIA_L1M1_PR_MR,175.95000000000002,18.53
VIA_L1M1_PR_MR_118,VIA_L1M1_PR_MR,176.87,18.53
VIA_L1M1_PR_MR_119,VIA_L1M1_PR_MR,185.15,18.53
VIA_L1M1_PR_MR_120,VIA_L1M1_PR_MR,186.99,18.53
VIA_L1M1_PR_MR_121,VIA_L1M1_PR_MR,157.09,19.55
VIA_L1M1_PR_MR_122,VIA_L1M1_PR_MR,162.15,19.55
VIA_L1M1_PR_MR_123,VIA_L1M1_PR_MR,163.07,19.55
VIA_L1M1_PR_MR_124,VIA_L1M1_PR_MR,156.63,19.89
VIA_L1M1_PR_MR_125,VIA_L1M1_PR_MR,182.85,19.89
VIA_L1M1_PR_MR_126,VIA_L1M1_PR_MR,186.07,19.89
VIA_L1M1_PR_MR_127,VIA_L1M1_PR_MR,158.93,20.23
VIA_L1M1_PR_MR_128,VIA_L1M1_PR_MR,160.77,20.23
VIA_L1M1_PR_MR_129,VIA_L1M1_PR_MR,163.99,20.23
VIA_L1M1_PR_MR_130,VIA_L1M1_PR_MR,166.29,20.23
VIA_L1M1_PR_MR_131,VIA_L1M1_PR_MR,180.465,20.23
VIA_L1M1_PR_MR_132,VIA_L1M1_PR_MR,181.93,20.23
VIA_L1M1_PR_MR_133,VIA_L1M1_PR_MR,183.77,20.23
VIA_L1M1_PR_MR_134,VIA_L1M1_PR_MR,81.65,20.57
VIA_L1M1_PR_MR_135,VIA_L1M1_PR_MR,82.11,20.57
VIA_L1M1_PR_MR_136,VIA_L1M1_PR_MR,83.49,20.57
VIA_L1M1_PR_MR_137,VIA_L1M1_PR_MR,154.79,20.57
VIA_L1M1_PR_MR_138,VIA_L1M1_PR_MR,156.17000000000002,20.57
VIA_L1M1_PR_MR_139,VIA_L1M1_PR_MR,157.55,20.57
VIA_L1M1_PR_MR_140,VIA_L1M1_PR_MR,159.85,20.57
VIA_L1M1_PR_MR_141,VIA_L1M1_PR_MR,163.07,20.57
VIA_L1M1_PR_MR_142,VIA_L1M1_PR_MR,168.13,20.57
VIA_L1M1_PR_MR_143,VIA_L1M1_PR_MR,169.51,20.57
VIA_L1M1_PR_MR_144,VIA_L1M1_PR_MR,172.73,20.57
VIA_L1M1_PR_MR_145,VIA_L1M1_PR_MR,173.65,20.57
VIA_L1M1_PR_MR_146,VIA_L1M1_PR_MR,178.25,20.57
VIA_L1M1_PR_MR_147,VIA_L1M1_PR_MR,179.17000000000002,20.57
VIA_L1M1_PR_MR_148,VIA_L1M1_PR_MR,182.39000000000001,20.57
VIA_L1M1_PR_MR_149,VIA_L1M1_PR_MR,182.85,20.57
VIA_L1M1_PR_MR_150,VIA_L1M1_PR_MR,186.53,20.57
VIA_L1M1_PR_MR_151,VIA_L1M1_PR_MR,186.99,20.57
VIA_L1M1_PR_MR_152,VIA_L1M1_PR_MR,158.47,20.91
VIA_L1M1_PR_MR_153,VIA_L1M1_PR_MR,164.45000000000002,20.91
VIA_L1M1_PR_MR_154,VIA_L1M1_PR_MR,177.79,20.91
VIA_L1M1_PR_MR_155,VIA_L1M1_PR_MR,181.47,20.91
VIA_L1M1_PR_MR_156,VIA_L1M1_PR_MR,80.73,21.25
VIA_L1M1_PR_MR_157,VIA_L1M1_PR_MR,82.57000000000001,21.25
VIA_L1M1_PR_MR_158,VIA_L1M1_PR_MR,154.79,21.25
VIA_L1M1_PR_MR_159,VIA_L1M1_PR_MR,181.01,21.25
VIA_L1M1_PR_MR_160,VIA_L1M1_PR_MR,184.69,21.25
VIA_L1M1_PR_MR_161,VIA_L1M1_PR_MR,157.09,22.27
VIA_L1M1_PR_MR_162,VIA_L1M1_PR_MR,161.23,22.27
VIA_L1M1_PR_MR_163,VIA_L1M1_PR_MR,166.75,22.27
VIA_L1M1_PR_MR_164,VIA_L1M1_PR_MR,167.21,22.27
VIA_L1M1_PR_MR_165,VIA_L1M1_PR_MR,175.03,22.61
VIA_L1M1_PR_MR_166,VIA_L1M1_PR_MR,175.49,22.61
VIA_L1M1_PR_MR_167,VIA_L1M1_PR_MR,178.25,22.61
VIA_L1M1_PR_MR_168,VIA_L1M1_PR_MR,150.65,22.95
VIA_L1M1_PR_MR_169,VIA_L1M1_PR_MR,151.57,22.95
VIA_L1M1_PR_MR_170,VIA_L1M1_PR_MR,153.87,22.95
VIA_L1M1_PR_MR_171,VIA_L1M1_PR_MR,154.79,22.95
VIA_L1M1_PR_MR_172,VIA_L1M1_PR_MR,156.17000000000002,22.95
VIA_L1M1_PR_MR_173,VIA_L1M1_PR_MR,157.09,22.95
VIA_L1M1_PR_MR_174,VIA_L1M1_PR_MR,158.01,22.95
VIA_L1M1_PR_MR_175,VIA_L1M1_PR_MR,163.53,22.95
VIA_L1M1_PR_MR_176,VIA_L1M1_PR_MR,164.91,22.95
VIA_L1M1_PR_MR_177,VIA_L1M1_PR_MR,167.67000000000002,22.95
VIA_L1M1_PR_MR_178,VIA_L1M1_PR_MR,168.59,22.95
VIA_L1M1_PR_MR_179,VIA_L1M1_PR_MR,169.51,22.95
VIA_L1M1_PR_MR_180,VIA_L1M1_PR_MR,171.81,22.95
VIA_L1M1_PR_MR_181,VIA_L1M1_PR_MR,174.11,22.95
VIA_L1M1_PR_MR_182,VIA_L1M1_PR_MR,176.21,22.95
VIA_L1M1_PR_MR_183,VIA_L1M1_PR_MR,179.63,22.95
VIA_L1M1_PR_MR_184,VIA_L1M1_PR_MR,181.01,22.95
VIA_L1M1_PR_MR_185,VIA_L1M1_PR_MR,181.47,22.95
VIA_L1M1_PR_MR_186,VIA_L1M1_PR_MR,183.31,22.95
VIA_L1M1_PR_MR_187,VIA_L1M1_PR_MR,184.69,22.95
VIA_L1M1_PR_MR_188,VIA_L1M1_PR_MR,186.07,22.95
VIA_L1M1_PR_MR_189,VIA_L1M1_PR_MR,186.53,22.95
VIA_L1M1_PR_MR_190,VIA_L1M1_PR_MR,158.47,23.29
VIA_L1M1_PR_MR_191,VIA_L1M1_PR_MR,166.19,23.29
VIA_L1M1_PR_MR_192,VIA_L1M1_PR_MR,173.65,23.29
VIA_L1M1_PR_MR_193,VIA_L1M1_PR_MR,185.15,23.29
VIA_L1M1_PR_MR_194,VIA_L1M1_PR_MR,150.19,23.63
VIA_L1M1_PR_MR_195,VIA_L1M1_PR_MR,154.79,23.63
VIA_L1M1_PR_MR_196,VIA_L1M1_PR_MR,162.15,23.63
VIA_L1M1_PR_MR_197,VIA_L1M1_PR_MR,180.09,23.63
