mode,cyc,Q,nor2_2_30_Y,or3_2_8_A,inv_2_10_A,inv_2_10_Y,nor2_2_30_B,or3_X,nor3_Y,and3_2_10_B,a32o_2_2_X,and4_2_3_A,a21o_2_10_X,and4_2_3_B,dfrtp_2_25_D,and3_2_11_X,o21a_X,and4_2_4_D,xnor2_2_11_B,and4_X
all0,70,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,71,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,72,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,73,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,74,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,75,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,76,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,77,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,78,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,79,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,80,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,81,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,82,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,83,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,84,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,85,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,86,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,87,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,88,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,89,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,90,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,91,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,92,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,93,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,94,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,95,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,96,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,97,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,98,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,99,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,100,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,101,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,102,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,103,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,104,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,105,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,106,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,107,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
all0,108,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
